あおい
同じ,same; identical; similar
きらい,
嫌い,dislike; hate
げんき,
元気,health
じょうず,
上手,skill; skillful; dexterity
じょうぶ,
丈夫,strong; solid; durable
すき,
好き,liking; fondness; love
だいすき,
大好き,very likeable; like very much
たいせつ,
大切,important
にぎやか,bustling; busy
ひま,
暇,free time; leisure
へた,
下手,unskillful; poor
べんり,
便利,convenient; handy
ゆうめい,
有名,famous
りっぱ,splendid; fine
けっこう,
結構,nice; enough
あき,
秋,autumn; fall
いちばん,best; first; number one
なのか,
七日,seven days; the seventh day (of the month)
かようび,
火曜日,tuesday
きんようび,
金曜日,friday
げつようび,
月曜日,monday
じかん,
時間,time
すいようび,
水曜日,wednesday
ちかく,
近く,near
どようび,
土曜日,saturday
にちようび,
日曜日,sunday
まいげつ/まいつき,
毎月,every month; monthly
もくようび,
木曜日,thursday
はん,
半,half
あさ,
朝,morning
あさって,day after tomorrow
おととい,day before yesterday
おととし,year before last
きのう,
昨日,yesterday
きょねん,
去年,last year
ごご,
午後,afternoon; P.M.
ごぜん,
午前,morning; A.M.
ことし,
今年,this year
こんげつ,
今月,this month
こんしゅう,
今週,this week
こんばん,
今晩,tonight; this evening
さらいねん,
さ来年,year after next
せんげつ,
先月,last month
せんしゅう,
先週,last week; the week before
ぜんぶ,
全部,all; entire; whole
なつ,
夏,summer
はる,
春,spring
ばん,
晩,evening
～ばん,
～番,～st/th best
ひる,
昼,noon; daytime
ふゆ,
冬,winter
まいあさ,
毎朝,every morning
まいしゅう,
毎週,every week
まいにち,
毎日,every day
まいばん,
毎晩,every night
ゆうがた,
夕方,evening
らいげつ,
来月,next month
らいねん,
来年,next year
まえ,
前,before; in front
うえ,
上,above; on top of
～がわ,
側,～ side
～ころ/～ごろ,about; approximately (time)
～たち,plural suffix
～ど,
～度,counter for occurrences
あした,tomorrow
きょう,
今日,today; this day
まいねん/まいとし,
毎年,every year; annually
けさ,
今朝,this morning
いち,
一,one
きゅう,
九,nine
ご,
五,five
さん,
三,three
し,
四,four
しち,
七,seven
じゅう,
十,ten
とお,
十,ten
に,
二,two
はち,
八,eight
ひゃく,
百,100; hundred
むっつ,
六つ,six
むら,
村,village
やっつ,
八つ,eight
ろく,
六,six
く,
九,nine
お～,honourable ～ (honorific)
あの,that over there
どの,which
～だけ,only ～; just ～
～ながら,while ~ing; during; although
あける,
開ける,to open
あげる,
上げる,to give
あびる,to bathe; to shower
いれる,
入れる,to put in
うまれる,
生まれる,to be born
おきる,
起きる,to get up; to rise
おしえる,
教える,to teach; to inform
おぼえる,
覚える,to remember; to memorize
おりる,
降りる,to alight (eg from bus); to get off
かける,to put on (eg glasses)
かける,to dial/call (eg phone)
かりる,
借りる,to borrow; to have a loan
きえる,
消える,to go out; to vanish
きる,
着る,to wear; to put on (from shoulders down)
こたえる,
答える,to answer; to reply
しめる,
締める,to tie; to fasten
たべる,
食べる,to eat
つかれる,
疲れる,to get tired; to tire
つとめる,
勤める,to serve; to work (for)
でかける,
出かける,to depart; to go out
できる,to be able to
でる,
出る,to appear; to leave
ねる,
寝る,to go to bed; to sleep
はれ,
晴れ,clear weather
はれる,
晴れる,to be sunny
みせる,
見せる,to show; to display
みる,
見る,to see; to watch
わすれる,
忘れる,to forget
しめる,
閉める,to close; to shut
つける,to turn on (eg a light)
ならべる,
並べる,to line up; to set up
いえ,
家,house; family
～かげつ,
～か月,(number of) months
～がつ,
～月,month of year
～がる,feel
～くらい/ぐらい,approximate (quantity)
～さい,
～歳,～years-old
～さん,mr or Mrs
～じ,
～時,time (～ O'clock)
～じかん,
～時間,～hours
～じゅう,
～中,during; while
～しゅうかん,
～週間,～weeks
～すぎ,to exceed; ～ too much
～ずつ,at a time; gradually
～だい,
～台,counter for vehicles/machines
～ちゅう,
～中,during; while ～ing
～ふん,
～分,～minutes
ぶんしょう,
文章,sentence; text
～まえ,
～前,in front of ～
きる,
切る,to cut; to chop
それから,and then; after that
あう,
会う,to meet; to see
あそぶ,
遊ぶ,to play; to enjoy oneself
あらう,
洗う,to wash
あるく,
歩く,to walk
いう,
言う,to say
いく/ゆく,
行く,to go
いる,
居る,(hum) to be (animate); to exist
いる,
要る,to need
うたう,
歌う,to sing
うる,
売る,to sell
おく,
置く,to put; to place
およぐ,
泳ぐ,to swim
おわる,
終る,to finish; to close
かう,
買う,to buy
かえる,
帰る,to go home; to return
かく,
書く,to write
かす,
貸す,to lend
かぶる,to wear; to put on (head)
きく,
聞く,to hear; to listen; to ask
くもる,
曇る,to become cloudy; to become dim
けす,
消す,to erase; to delete; to turn off power
こまる,
困る,to be worried; to be bothered
さく,
咲く,to bloom
さす,
差す,to raise (stretch out) hands; to raise (eg umbrella)
しる,
知る,to know; to understand
すう,
吸う,to smoke; to breathe in; to suck
すむ,
住む,to reside; to live in
すわる,
座る,to sit
だす,
出す,to put out; to send
たつ,
立つ,to stand
たのむ,
頼む,to request; to ask
ちがう,
違う,to differ (from)
つかう,
使う,to use
つく,
着く,to arrive at; to reach
つくる,
作る,to make; to create
とぶ,
飛ぶ,to fly; to hop
とまる,
止まる,to come to a halt
とる,
取る,to take
とる,
撮る,to take (a photo)
なく,
鳴く,to make sound (animal)
なくす,
無くす,to lose something
ならう,
習う,to learn
なる,to become
ぬぐ,
脱ぐ,to take off clothes
のぼる,
登る,to climb
のむ,
飲む,to drink
のる,
乗る,to get on; to ride in; to board
はいる,
入る,to enter; to contain; to hold
はく,to wear; to put on (trousers)
はしる,
走る,to run
はたらく,
働く,to work
はなす,
話す,to speak
はる,
貼る,to stick; to paste
ひく,
引く,to pull
ひく,
弾く,to play (piano;  guitar)
ふく,
吹く,to blow (wind;  etc)
ふる,
降る,to precipitate; to fall (e.g. rain)
まがる,
曲る,to turn; to bend
まつ,
待つ,to wait
みがく,
磨く,to brush (teeth)
もつ,
持つ,(1) to hold; to carry; (2) to possess
やる,to do
よぶ,
呼ぶ,to call out; to invite
よむ,
読む,to read
わかる,
分かる,to understand
わたす,
渡す,to pass over; to hand over
わたる,
渡る,to cross over; to go across
あく,
